molecule_id,final_score,epoch_number,target_protein,miner_uid,smiles,miner_hotkey,miner_coldkey,created_at
rxn:1:50325:39018,0.1371512824091418,23213.0,Q4QQW4,3.0,NNC(=O)c1ccc(C2C(Cn3cc(-c4cc5cn[nH]c5cn4)nn3)C2(F)F)s1,5HbYAsFP83TgTc2n6HjvEdNo4SLuBNa95axFAvdt858Quju5,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-11T02:32:45+00:00
rxn:1:43756:5723,0.1370744258165359,23206.0,Q4QQW4,56.0,CCC(Oc1ccc(O)cc1)c1cn(-c2ccc(I)cc2F)nn1,5DfWzqT3eydoTBzTh1oby9ZoYYWsP4bQ4NWrhRzf47xoepjd,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-10T18:09:29+00:00
rxn:1:50325:1060,0.1370458855078771,23189.0,Q4QQW4,53.0,NNC(=O)c1ccc(C2C(Cn3cc(-c4cc(Br)cs4)nn3)C2(F)F)s1,5CtAbmpfdaNAsbyt9Cz5Nr4uimKHQPRrKia8WwYT8DKPLwvC,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-09T21:45:13+00:00
rxn:1:54966:660,0.1369801193475723,23213.0,Q4QQW4,41.0,O=S(=O)(c1ccc(Br)cc1)n1cc(CCCCS)nn1,5DPfpjUqjCqr4fXah2xM64pVW7fBwpPNzFFf6c9waVXiP5BB,5F1RWsGeB9MbEeDi7yAmW2FpyUQi3AZ6uuqt7RbSE5DjpHQH,2026-06-11T02:32:45+00:00
rxn:1:50325:35074,0.1368240736148975,23213.0,Q4QQW4,27.0,NNC(=O)c1ccc(C2C(Cn3cc(-c4ccc(Br)cn4)nn3)C2(F)F)s1,5DUmwxNP3TLUF71vXZrCEhxvdGo72Mg3i97BhjCpTGZhdd3y,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-11T02:32:45+00:00
rxn:1:62067:23379,0.1366485921960128,23193.0,Q4QQW4,2.0,O[C@H](Cn1cc(CCCS)nn1)c1cccc(Br)c1,5Cf7GeZrmBJDCj6RVat3fcQUhfdFAT3MfwyYdzZEndP4NPTe,5CAHGGttoG4vwhnovZragtmJbp7GkNVrUXbqMrfUxiYXAPJn,2026-06-10T02:30:14+00:00
rxn:1:65513:2316,0.1365013544758161,23206.0,Q4QQW4,25.0,CCC(Nc1ncc(C(=O)O)s1)c1cn(-c2ccc(I)cc2)nn1,5CZspf3UVUokqhqvNGnuv8MWYWSDNUPRyj1BxyaR8nwRfmug,5DZXbYUsMahTTBxotNEegTKXT5FLyPjCvHs9nnnA73TtPNYh,2026-06-10T18:09:29+00:00
rxn:1:60111:37899,0.1364907576487615,23169.0,Q4QQW4,47.0,NCc1sccc1-c1cn(I)nn1,5FxN6Q8RqwJ7XQbQYFVijog4qfu1HUoMfia2r9tgPSMZsciZ,5CwisvtrcF386MhHuUdrV5pDbBniYP1HoXP8r631yxheX3tM,2026-06-08T21:41:10+00:00
rxn:1:43756:39639,0.1360138368606567,23189.0,Q4QQW4,15.0,Cc1nn(C)c(N(C)Cc2cn(-c3ccc(I)cc3F)nn2)c1C=O,5CFVtQjHeZ4iTbMf6Fug7E1aLAKeERDEAomffRhSqaNDYJtp,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-09T21:45:13+00:00
rxn:1:43756:38785,0.1357697689974749,23206.0,Q4QQW4,21.0,CN(Cc1cn(-c2ccc(I)cc2F)nn1)c1nc(N)c(C=O)cc1C#N,5EyaVBUQAoZ1HdUBCRRVmJqxp5Yoi5E4JHPVrQLmx7zRMmUk,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-10T18:09:29+00:00
rxn:1:42115:23379,0.135750937461853,23206.0,Q4QQW4,29.0,Fc1cccc(F)c1C#CCn1cc(CCCS)nn1,5HR4bEZ5Zq153qobv89PD5wnvhkFuE5uxG6RMs1WLXoDt9aM,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-10T18:09:29+00:00
rxn:1:62190:2080,0.1356487599286166,23193.0,Q4QQW4,35.0,CCCCC(N)c1cn(-c2ccc(CN3CCC3)cc2)nn1,5EbkgiLWxKj4T2UTUqFnF7sJEhAmFGme4oGpKWiVrS1YjPGi,5F1RWsGeB9MbEeDi7yAmW2FpyUQi3AZ6uuqt7RbSE5DjpHQH,2026-06-10T02:30:14+00:00
rxn:1:58566:14754,0.1356124138832092,23206.0,Q4QQW4,24.0,CC(Oc1ncc(N)cc1Br)c1cn(-c2ccc3scnc3c2)nn1,5HTmwrcmqjgs5iGYppJ8ujMCnCp3dnwHxvPLUGzCTUM4NRan,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-10T18:09:29+00:00
rxn:1:41907:39638,0.1350192022323608,23205.0,Q4QQW4,2.0,Cc1cc(C=O)cnc1N(C)Cc1cn(-c2ccc(I)cc2Cl)nn1,5Dnni5GuLvaD6nyyYTpzJwuS2yCkGoGug4naDyFjERg8KZpE,5GZDZJZok82n7cY7XZ3M77WjfCowWwAVaCRk9pNXGtnN4zzx,2026-06-10T17:02:24+00:00
rxn:1:59871:2080,0.1347703218460083,23213.0,Q4QQW4,46.0,CCCCC(N)c1cn(-c2c(F)cc(I)cc2F)nn1,5HKuuPHERHZ65EGs5UVTMPYN8sExcwusJw1AMcHXEv9yYtyN,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-11T02:32:45+00:00
rxn:1:43756:6617,0.1342537850141525,23213.0,Q4QQW4,30.0,O=Cc1cc2n(Cc3cn(-c4ccc(I)cc4F)nn3)ccn2n1,5DepSUKmnctbQs9G6c2pjgr7ZCD9y8ZTtJw5iRXVePhvmD5X,5EvpaL11ef7DmbyH7JZvRypq4mRVDuBNUVVMjhsnMU8GdDy5,2026-06-11T02:32:45+00:00
rxn:1:60111:135440,0.13422,,,,,,,
rxn:1:55769:15398,0.1338734805583954,23213.0,Q4QQW4,7.0,NNC(=O)c1ccc(C2CC2Cn2cc(-c3ccc(-n4cc(I)cn4)cc3)nn2)s1,5CFVtQjHeZ4iTbMf6Fug7E1aLAKeERDEAomffRhSqaNDYJtp,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-11T02:32:45+00:00
rxn:1:43756:23811,0.1335487912098567,23193.0,Q4QQW4,30.0,Fc1cc(I)ccc1-n1cc(C2(n3cncn3)CCSCC2)nn1,5DPfpjUqjCqr4fXah2xM64pVW7fBwpPNzFFf6c9waVXiP5BB,5F1RWsGeB9MbEeDi7yAmW2FpyUQi3AZ6uuqt7RbSE5DjpHQH,2026-06-10T02:30:14+00:00
rxn:1:60073:23379,0.1335035060581408,23205.0,Q4QQW4,52.0,OC[C@@H](c1ccc(Br)cc1)n1cc(CCCS)nn1,5F4QDXd8LDZJ2LZJTcfzX8WFmTx4bMNxMnzStHQJGhz5hAcH,5CwisvtrcF386MhHuUdrV5pDbBniYP1HoXP8r631yxheX3tM,2026-06-10T17:02:24+00:00
rxn:1:43756:2316,0.1334975600242615,23213.0,Q4QQW4,33.0,CCC(Nc1ncc(C(=O)O)s1)c1cn(-c2ccc(I)cc2F)nn1,5CtAbmpfdaNAsbyt9Cz5Nr4uimKHQPRrKia8WwYT8DKPLwvC,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-11T02:32:45+00:00
rxn:1:58861:660,0.1333616689631814,23206.0,Q4QQW4,8.0,Cn1cnc(S(=O)(=O)n2cc(CCCCS)nn2)c1,5FjSxGWFGQJQPfzxSLk9gvZAyHJPNuTDvxzuURCuyk6nYChz,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-10T18:09:29+00:00
rxn:1:59225:660,0.1330210367838542,23213.0,Q4QQW4,52.0,O=S(=O)(c1cccc(Cl)c1Cl)n1cc(CCCCS)nn1,5F4QDXd8LDZJ2LZJTcfzX8WFmTx4bMNxMnzStHQJGhz5hAcH,5CwisvtrcF386MhHuUdrV5pDbBniYP1HoXP8r631yxheX3tM,2026-06-11T02:32:45+00:00
rxn:1:50325:38843,0.1328623056411743,23213.0,Q4QQW4,35.0,NNC(=O)c1ccc(C2C(Cn3cc(-c4ccsc4)nn3)C2(F)F)s1,5GrjSpB1MLhwS8hCHgKYktfu9hTavi1aCkuHN9PdzArtxhiX,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-11T02:32:45+00:00
rxn:1:50325:39015,0.1327612523374886,23189.0,Q4QQW4,6.0,NNC(=O)c1ccc(C2C(Cn3cc(-c4cc5[nH]ncc5cn4)nn3)C2(F)F)s1,5FLPhFDnajbTckwont9g976dKiiZGsdvtRxw9iFNvtHdrz5u,5FQoP9kkvcPYHbRzLTuWPXB1owLsxJsW8QG7W9qvP4fJ5XH7,2026-06-09T21:45:13+00:00
rxn:1:49433:3434,0.1325689283284274,23205.0,Q4QQW4,31.0,CN1CC(=O)OB(c2cn(C3(CI)CNC3)nn2)OC(=O)C1,5DEyd2sKqXJMxJ1Fct5UWgPssks3vmqciedzBKcV3c5nxQFa,5DZXbYUsMahTTBxotNEegTKXT5FLyPjCvHs9nnnA73TtPNYh,2026-06-10T17:02:24+00:00
